"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","DateStartInterval","IntervalDays","FeedElementId","Parent","ItemCount","NetworkScope"
"0ODf40000018hGLGAY","0","00000038","2019-05-26 13:16:27","005f4000002cd9IAAQ","2019-05-26 13:16:27","005f4000002cd9IAAQ","2019-05-26 13:16:27","2019-05-26 00:00:00","7","0D5f400001ds31eCAA","00Tf400001Fzr0y","1","I"
"0ODf40000018hGMGAY","0","00000039","2019-05-26 13:16:27","005f4000002cd9IAAQ","2019-05-26 13:16:27","005f4000002cd9IAAQ","2019-05-26 13:16:27","2019-05-26 00:00:00","7","0D5f400001f4SEWCA2","00Tf400001Hm7xX","1","I"
"0ODf40000018hGNGAY","0","00000040","2019-05-26 13:16:27","005f4000002cd9IAAQ","2019-05-26 13:16:27","005f4000002cd9IAAQ","2019-05-26 13:16:27","2019-05-26 00:00:00","7","0D5f400001f4SZsCAM","00Tf400001Hm808","1","I"
"0ODf40000018hGOGAY","0","00000041","2019-05-26 13:16:27","005f4000002cd9IAAQ","2019-05-26 13:16:27","005f4000002cd9IAAQ","2019-05-26 13:16:27","2019-05-26 00:00:00","7","0D5f400001f4SnfCAE","00Tf400001Hm8Es","1","I"
"0ODf40000018hGPGAY","0","00000042","2019-05-26 13:16:27","005f4000002cd9IAAQ","2019-05-26 13:16:27","005f4000002cd9IAAQ","2019-05-26 13:16:27","2019-05-26 00:00:00","7","0D5f400001dr752CAA","00Tf400001FzZoP","1","I"
"0ODf40000018jYiGAI","0","00000043","2019-06-02 13:16:40","005f4000002cd9IAAQ","2019-06-02 13:16:40","005f4000002cd9IAAQ","2019-06-02 13:16:40","2019-06-02 00:00:00","7","0D5f400001f7Fx1CAE","00Tf400001HmzJd","1","I"
"0ODf40000018jYjGAI","0","00000044","2019-06-02 13:16:40","005f4000002cd9IAAQ","2019-06-02 13:16:40","005f4000002cd9IAAQ","2019-06-02 13:16:40","2019-06-02 00:00:00","7","0D5f400001f7pLCCAY","00Tf400001HnA5t","1","I"
"0ODf40000018jYkGAI","0","00000045","2019-06-02 13:16:40","005f4000002cd9IAAQ","2019-06-02 13:16:40","005f4000002cd9IAAQ","2019-06-02 13:16:40","2019-06-02 00:00:00","7","0D5f400001f7pOuCAI","00Tf400001HnAAT","1","I"
"0ODf40000018jYlGAI","0","00000046","2019-06-02 13:16:40","005f4000002cd9IAAQ","2019-06-02 13:16:40","005f4000002cd9IAAQ","2019-06-02 13:16:40","2019-06-02 00:00:00","7","0D5f400001fx1DSCAY","00Tf400001HnROC","1","I"
"0ODf40000018jb3GAA","0","00000047","2019-06-02 13:16:40","005f4000002cd9IAAQ","2019-06-02 13:16:40","005f4000002cd9IAAQ","2019-06-02 13:16:40","2019-06-02 00:00:00","7","0D5f400001fx1IUCAY","00Tf400001HnRQW","1","I"
